scenario,seed,clip_idx,path,n_frames,n_particles,duration_s,initial_height_m,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius_m,wind_x,wind_z,n_pinned,config_hash,wall_s,status
drape,1300,1300,/data/cloth_trajectories/drape/clip_001300_001300.npz,1000,4096,1.0,0.8755364334100411,0.8781146964457686,0.3601074484972831,1.1228273390208354,0.213788039063758,0.0,0.0,0,028f8334f58c,27.988859688999582,OK
drape,1301,1301,/data/cloth_trajectories/drape/clip_001301_001301.npz,1000,4096,1.0,0.6165941826503492,1.106091718625397,0.3543680621134714,0.9065529037913012,0.1622261205368777,0.0,0.0,0,0a590412af3d,28.92568940699948,OK
drape,1302,1302,/data/cloth_trajectories/drape/clip_001302_001302.npz,1000,4096,1.0,0.7591920790780268,1.0541120968945674,0.435305947736683,0.9203513731774025,0.2238861313413437,0.0,0.0,0,f33edde8830b,29.076648074999863,OK
drape,1303,1303,/data/cloth_trajectories/drape/clip_001303_001303.npz,1000,4096,1.0,0.7981115801191629,0.8909480041192116,0.3909136885251301,0.8769768516285538,0.2080438101515686,0.0,0.0,0,97cba59347cb,27.429538153000067,OK
drape,1304,1304,/data/cloth_trajectories/drape/clip_001304_001304.npz,1000,4096,1.0,0.6892478722199398,1.1273654161078286,0.3555440298122113,1.077929355328716,0.2337038424077284,0.0,0.0,0,cbf92b4c2e91,28.150428060000195,OK
drape,1305,1305,/data/cloth_trajectories/drape/clip_001305_001305.npz,1000,4096,1.0,0.898699414492628,1.1102647396259884,0.4124576553374749,0.9318478311351344,0.1836729762126114,0.0,0.0,0,9c057260dd40,27.227354315999943,OK
drape,1306,1306,/data/cloth_trajectories/drape/clip_001306_001306.npz,1000,4096,1.0,0.7681868927384647,0.9189513155190678,0.4516366375839823,1.014717295379869,0.2165502551544823,0.0,0.0,0,be403489e8b0,26.57716345899996,OK
drape,1307,1307,/data/cloth_trajectories/drape/clip_001307_001307.npz,1000,4096,1.0,0.8197694820473939,1.064420994476979,0.4476157627131931,0.9799826370300132,0.1959522659627907,0.0,0.0,0,8c6b5a93d30b,26.40711320599985,OK
drape,1308,1308,/data/cloth_trajectories/drape/clip_001308_001308.npz,1000,4096,1.0,0.8629401390166994,0.8537454793337218,0.4222217842731702,1.0932305446016948,0.184288236574078,0.0,0.0,0,c46220942ccd,27.076112783999633,OK
drape,1309,1309,/data/cloth_trajectories/drape/clip_001309_001309.npz,1000,4096,1.0,0.700536903624493,1.1040681323959185,0.3728713036388544,0.9174113419997868,0.2276655999856385,0.0,0.0,0,14c97e1dfda1,27.47469850899961,OK
drape,1310,1310,/data/cloth_trajectories/drape/clip_001310_001310.npz,1000,4096,1.0,0.74131434071987,1.098740824107208,0.4800564081079557,0.916495331310728,0.1612579326119142,0.0,0.0,0,d0f136aa80af,25.756753946999993,OK
drape,1311,1311,/data/cloth_trajectories/drape/clip_001311_001311.npz,1000,4096,1.0,0.8174152033867026,1.032309095555455,0.481052837135796,0.953794255365352,0.1648365851985262,0.0,0.0,0,2b537d2f82eb,26.582931163000467,OK
drape,1312,1312,/data/cloth_trajectories/drape/clip_001312_001312.npz,1000,4096,1.0,0.7771437233212254,0.8564353978370888,0.4435083177883123,1.1162735002433273,0.233635405532913,0.0,0.0,0,afe5f05bc680,27.094063104999805,OK
drape,1313,1313,/data/cloth_trajectories/drape/clip_001313_001313.npz,1000,4096,1.0,0.7870609499615367,0.8534334223648911,0.4697071149423465,1.0112040491020882,0.2173538350191902,0.0,0.0,0,8261173c4be4,28.269513723000273,OK
drape,1314,1314,/data/cloth_trajectories/drape/clip_001314_001314.npz,1000,4096,1.0,0.7259041850520846,1.103836067581865,0.4033549088181152,1.1077976700990884,0.2225492762339694,0.0,0.0,0,0dc8721e4da6,28.06793560200003,OK
drape,1315,1315,/data/cloth_trajectories/drape/clip_001315_001315.npz,1000,4096,1.0,0.8249649224595463,1.046293665422443,0.4202243634547395,1.1034713249291035,0.1892199149275868,0.0,0.0,0,c94fd58c474b,27.819580452999617,OK
drape,1316,1316,/data/cloth_trajectories/drape/clip_001316_001316.npz,1000,4096,1.0,0.7550165417928795,1.0387343007970975,0.41131213857904,0.8540133732386335,0.2102878305223888,0.0,0.0,0,1962f9e4e695,27.198447200999908,OK
drape,1317,1317,/data/cloth_trajectories/drape/clip_001317_001317.npz,1000,4096,1.0,0.763753192934835,0.8707168590233099,0.3796311134650399,1.1075748438230906,0.245671007876918,0.0,0.0,0,7e1075bb688d,26.701255807999587,OK
drape,1318,1318,/data/cloth_trajectories/drape/clip_001318_001318.npz,1000,4096,1.0,0.8776065535040146,0.9903637808135816,0.454700357089683,0.9972680889901774,0.1737345211689074,0.0,0.0,0,f9ae8000da8b,27.24996864500008,OK
drape,1319,1319,/data/cloth_trajectories/drape/clip_001319_001319.npz,1000,4096,1.0,0.6908542618703851,1.0455500337357095,0.4403026036943453,1.0573251323182522,0.1505516581760398,0.0,0.0,0,d3c9b58cea71,28.11998756899993,OK
drape,1320,1320,/data/cloth_trajectories/drape/clip_001320_001320.npz,1000,4096,1.0,0.7255545273103506,1.0465165326073336,0.4681755328455622,1.0896989136880362,0.1573789944647884,0.0,0.0,0,cf394e482587,26.85521716600033,OK
drape,1321,1321,/data/cloth_trajectories/drape/clip_001321_001321.npz,1000,4096,1.0,0.8668926660282291,1.136735180351135,0.3544453946742546,0.9685319973249388,0.2119438451806063,0.0,0.0,0,8c0ad02e0394,25.446820032000005,OK
drape,1322,1322,/data/cloth_trajectories/drape/clip_001322_001322.npz,1000,4096,1.0,0.7478049939473431,1.089108591161741,0.3602801226768228,1.1356902531633295,0.1705871668494283,0.0,0.0,0,947c22c6c02a,27.689601269000377,OK
drape,1323,1323,/data/cloth_trajectories/drape/clip_001323_001323.npz,1000,4096,1.0,0.8066817390501714,1.1214337115455877,0.388146965482804,1.1374527867253656,0.2147554297603773,0.0,0.0,0,4e19f927d925,28.161490360999775,OK
drape,1324,1324,/data/cloth_trajectories/drape/clip_001324_001324.npz,1000,4096,1.0,0.7447705489700893,0.8982944057034581,0.4528275732947774,0.8737740638314491,0.1919429756753118,0.0,0.0,0,f1adf2f78fad,28.725356260999433,OK
drape,1325,1325,/data/cloth_trajectories/drape/clip_001325_001325.npz,1000,4096,1.0,0.8984845543359612,0.9502842804342494,0.4017973293050295,0.926764976585815,0.1872977145150763,0.0,0.0,0,057d88375a81,27.718934411000077,OK
